"FirmID","Cohort_Year","Year","VP","Gov","Treated","EventTime"
"CTKB US Equity",2022,2022,-0.05,NA,1,0
"CTKB US Equity",2022,2023,-0.19,5.649860859,1,1
"CTKB US Equity",2022,2024,-4.84,6.3264575,1,2
"CTKB US Equity",2022,2025,-4.94,5.727251053,1,3
"CYDY US Equity",2019,2019,NA,NA,1,0
"CYDY US Equity",2019,2020,NA,NA,1,1
"CYDY US Equity",2019,2021,NA,NA,1,2
"CYDY US Equity",2019,2022,2369.29,5.309697151,1,3
"CYDY US Equity",2019,2023,NA,7.326442242,1,4
"CYDY US Equity",2019,2024,NA,6.652369022,1,5
"CYDY US Equity",2019,2025,NA,6.801682949,1,6
"DERM US Equity",NA,2019,NA,NA,0,NA
"DERM US Equity",NA,2020,NA,NA,0,NA
"DERM US Equity",NA,2021,-5.08,NA,0,NA
"DERM US Equity",NA,2022,-3.78,NA,0,NA
"DERM US Equity",NA,2023,-2.22,NA,0,NA
"DERM US Equity",NA,2024,-0.14,NA,0,NA
"DERM US Equity",NA,2025,0.18,NA,0,NA
"DFTX US Equity",2020,2019,NA,NA,0,-1
"DFTX US Equity",2020,2020,NA,NA,1,0
"DFTX US Equity",2020,2021,NA,NA,1,1
"DFTX US Equity",2020,2022,NA,NA,1,2
"DFTX US Equity",2020,2023,NA,NA,1,3
"DFTX US Equity",2020,2024,NA,NA,1,4
"DFTX US Equity",2020,2025,NA,NA,1,5
"DNLI US Equity",2021,2019,50.58,5.308724403,0,-2
"DNLI US Equity",2021,2020,3.6,5.92828989,0,-1
"DNLI US Equity",2021,2021,46.43,6.296596527,1,0
"DNLI US Equity",2021,2022,15.53,6.310141087,1,1
"DNLI US Equity",2021,2023,1.46,6.019412518,1,2
"DNLI US Equity",2021,2024,NA,6.011441231,1,3
"DNLI US Equity",2021,2025,NA,5.38748312,1,4
"DSGN US Equity",NA,2019,NA,NA,0,NA
"DSGN US Equity",NA,2020,NA,NA,0,NA
"DSGN US Equity",NA,2021,NA,NA,0,NA
"DSGN US Equity",NA,2022,NA,NA,0,NA
"DSGN US Equity",NA,2023,NA,5.436527252,0,NA
"DSGN US Equity",NA,2024,NA,6.000731468,0,NA
"DSGN US Equity",NA,2025,NA,5.757554054,0,NA
"DYN US Equity",NA,2019,NA,NA,0,NA
"DYN US Equity",NA,2020,NA,NA,0,NA
"DYN US Equity",NA,2021,NA,NA,0,NA
"DYN US Equity",NA,2022,NA,NA,0,NA
"DYN US Equity",NA,2023,NA,4.901129723,0,NA
"DYN US Equity",NA,2024,NA,5.15247488,0,NA
"DYN US Equity",NA,2025,NA,5.160554409,0,NA
"EBS US Equity",NA,2019,-2.37,NA,0,NA
"EBS US Equity",NA,2020,-3.36,NA,0,NA
"EBS US Equity",NA,2021,-4.25,NA,0,NA
"EBS US Equity",NA,2022,-2.65,NA,0,NA
"EBS US Equity",NA,2023,-2.09,5.164396763,0,NA
"EBS US Equity",NA,2024,-1.62,6.338558674,0,NA
"EBS US Equity",NA,2025,-2.22,6.259416103,0,NA
"ELVN US Equity",NA,2019,NA,NA,0,NA
"ELVN US Equity",NA,2020,NA,NA,0,NA
"ELVN US Equity",NA,2021,NA,NA,0,NA
"ELVN US Equity",NA,2022,NA,NA,0,NA
"ELVN US Equity",NA,2023,NA,NA,0,NA
"ELVN US Equity",NA,2024,NA,NA,0,NA
"ELVN US Equity",NA,2025,NA,NA,0,NA
"EOLS US Equity",NA,2019,-2.5,NA,0,NA
"EOLS US Equity",NA,2020,-5.54,NA,0,NA
"EOLS US Equity",NA,2021,-6.33,NA,0,NA
"EOLS US Equity",NA,2022,-2.77,NA,0,NA
"EOLS US Equity",NA,2023,-0.77,5.509072781,0,NA
"EOLS US Equity",NA,2024,-3.01,6.70906496,0,NA
"EOLS US Equity",NA,2025,-5.23,6.552620411,0,NA
"ESPR US Equity",2023,2019,-1.58,5.049137115,0,-4
"ESPR US Equity",2023,2020,-11.72,4.782804966,0,-3
"ESPR US Equity",2023,2021,-7.15,5.761898518,0,-2
"ESPR US Equity",2023,2022,0.38,5.742279053,0,-1
"ESPR US Equity",2023,2023,0.87,6.102456093,1,0
"ESPR US Equity",2023,2024,-5.26,5.145832539,1,1
"ESPR US Equity",2023,2025,-4.61,5.775625229,1,2
"ETON US Equity",NA,2019,90,NA,0,NA
"ETON US Equity",NA,2020,4588.3,NA,0,NA
"ETON US Equity",NA,2021,-1.61,NA,0,NA
"ETON US Equity",NA,2022,0.48,NA,0,NA
"ETON US Equity",NA,2023,0.13,NA,0,NA
"ETON US Equity",NA,2024,7.95,NA,0,NA
"ETON US Equity",NA,2025,3.64,NA,0,NA
"EWTX US Equity",NA,2019,NA,NA,0,NA
"EWTX US Equity",NA,2020,NA,NA,0,NA
"EWTX US Equity",NA,2021,NA,NA,0,NA
"EWTX US Equity",NA,2022,NA,NA,0,NA
"EWTX US Equity",NA,2023,NA,4.91728735,0,NA
"EWTX US Equity",NA,2024,NA,4.927793026,0,NA
"EWTX US Equity",NA,2025,NA,4.820096016,0,NA
"FBRX US Equity",NA,2019,NA,NA,0,NA
"FBRX US Equity",NA,2020,NA,NA,0,NA
"FBRX US Equity",NA,2021,NA,NA,0,NA
"FBRX US Equity",NA,2022,NA,NA,0,NA
"FBRX US Equity",NA,2023,NA,NA,0,NA
"FBRX US Equity",NA,2024,NA,NA,0,NA
"FBRX US Equity",NA,2025,NA,NA,0,NA
"FDMT US Equity",2021,2019,NA,NA,0,-2
"FDMT US Equity",2021,2020,NA,NA,0,-1
"FDMT US Equity",2021,2021,-0.6,NA,1,0
"FDMT US Equity",2021,2022,108.13,NA,1,1
"FDMT US Equity",2021,2023,52.39,NA,1,2
"FDMT US Equity",2021,2024,NA,NA,1,3
"FDMT US Equity",2021,2025,NA,NA,1,4
"FHTX US Equity",2021,2019,NA,NA,0,-2
"FHTX US Equity",2021,2020,761.45,NA,0,-1
"FHTX US Equity",2021,2021,225.55,NA,1,0
"FHTX US Equity",2021,2022,NA,NA,1,1
"FHTX US Equity",2021,2023,-0.01,5.309319019,1,2
"FHTX US Equity",2021,2024,-0.6,5.325956821,1,3
"FHTX US Equity",2021,2025,3.41,5.978666306,1,4
"FOLD US Equity",2021,2019,-11.41,6.504094124,0,-2
"FOLD US Equity",2021,2020,-11.26,6.409188747,0,-1
"FOLD US Equity",2021,2021,-9.18,5.993833065,1,0
"FOLD US Equity",2021,2022,0.41,5.909677505,1,1
"FOLD US Equity",2021,2023,-5.57,5.096907139,1,2
"FOLD US Equity",2021,2024,-6.28,5.844729424,1,3
"FOLD US Equity",2021,2025,-2.35,6.135560513,1,4
"FULC US Equity",2019,2019,NA,NA,1,0
"FULC US Equity",2019,2020,25.96,NA,1,1
"FULC US Equity",2019,2021,7.74,NA,1,2
"FULC US Equity",2019,2022,13.08,NA,1,3
"FULC US Equity",2019,2023,141.43,5.850914478,1,4
"FULC US Equity",2019,2024,NA,5.881297112,1,5
"FULC US Equity",2019,2025,NA,6.78261137,1,6
"GERN US Equity",NA,2019,81.2,NA,0,NA
"GERN US Equity",NA,2020,1456.03,NA,0,NA
"GERN US Equity",NA,2021,132.01,NA,0,NA
"GERN US Equity",NA,2022,2023.96,NA,0,NA
"GERN US Equity",NA,2023,3061.44,6.764812946,0,NA
"GERN US Equity",NA,2024,2.86,6.663949013,0,NA
"GERN US Equity",NA,2025,-2.65,6.777761459,0,NA
"GLSI US Equity",NA,2019,NA,NA,0,NA
"GLSI US Equity",NA,2020,NA,NA,0,NA
"GLSI US Equity",NA,2021,NA,NA,0,NA
"GLSI US Equity",NA,2022,NA,NA,0,NA
"GLSI US Equity",NA,2023,NA,NA,0,NA
"GLSI US Equity",NA,2024,NA,NA,0,NA
"GLSI US Equity",NA,2025,NA,NA,0,NA
"GLUE US Equity",2021,2019,NA,NA,0,-2
"GLUE US Equity",2021,2020,NA,NA,0,-1
"GLUE US Equity",2021,2021,NA,NA,1,0
"GLUE US Equity",2021,2022,NA,NA,1,1
"GLUE US Equity",2021,2023,NA,5.105400562,1,2
"GLUE US Equity",2021,2024,-5.22,5.594871044,1,3
"GLUE US Equity",2021,2025,1.1,5.841974735,1,4
"GYRE US Equity",NA,2019,NA,NA,0,NA
"GYRE US Equity",NA,2020,-2.43,NA,0,NA
"GYRE US Equity",NA,2021,NA,NA,0,NA
"GYRE US Equity",NA,2022,20.47,NA,0,NA
"GYRE US Equity",NA,2023,8.89,NA,0,NA
"GYRE US Equity",NA,2024,8.43,NA,0,NA
"GYRE US Equity",NA,2025,2.8,NA,0,NA
"HALO US Equity",2021,2019,-7.38,7.259056091,0,-2
"HALO US Equity",2021,2020,0.93,7.659259796,0,-1
"HALO US Equity",2021,2021,-6.32,7.49318409,1,0
"HALO US Equity",2021,2022,0.22,6.297192097,1,1
"HALO US Equity",2021,2023,-8.64,7.527451038,1,2
"HALO US Equity",2021,2024,-4.16,7.222610474,1,3
"HALO US Equity",2021,2025,-1.46,7.577169895,1,4
"IDYA US Equity",2019,2019,NA,NA,1,0
"IDYA US Equity",2019,2020,8.99,NA,1,1
"IDYA US Equity",2019,2021,-1.84,NA,1,2
"IDYA US Equity",2019,2022,3.37,NA,1,3
